MATRICULA,COD_DISCIPLINA,COD_CURSO,NOTA,CARGA_HORARIA,ANO_SEMESTRE
100,SEN00209,4,82,60,20171
100,MPS00012,56,90,30,20181
100,SGE00014,4,8,30,20171
100,GLC00203,21,65,60,20181
100,GCL00100,21,96,60,20171
100,GLC00214,21,84,60,20181
100,SEN00076,4,98,60,20181
100,TDT00033,56,83,45,20172
100,GLC00224,21,90,60,20181
100,SEN00131,4,0,60,20181
100,SSE00228,21,80,60,20181
100,TEC00206,56,100,45,20181
100,GLC00223,21,0,60,20181
100,SEN00082,4,67,60,20181
100,GCL00078,21,70,60,20172
100,GMA00022,56,0,60,20181
101,GAN00147,4,85,60,20181
101,GLC00204,21,90,60,20181
101,GET00117,4,73,60,20181
101,SSE00230,21,100,100,20181
101,DGP00029,103,88,60,20171
101,TET00186,31,61,34,20171
101,GLC00191,21,60,60,20171
101,SEN00076,4,79,60,20172
102,GMA00021,56,0,60,20172
102,GLC00214,21,77,60,20181
102,GLE00510,21,74,60,20172
102,GMA00022,31,27,60,20181
102,GLC00292,21,80,30,20181
102,SSE00230,21,0,100,20181
102,GLE00395,21,90,60,20172
102,GFI00160,56,65,68,20172
102,GLC00224,21,0,60,20171
102,TET00186,31,91,34,20172
102,TET00186,31,81,34,20172
102,GCL00078,21,93,60,20181
102,GLE00531,21,87,60,20171
102,GLC00240,21,94,60,20181
103,GCL00090,21,87,60,20171
103,TET00185,31,73,68,20181
103,GLE00491,21,100,60,20171
103,SEN00075,4,60,60,20181
103,DGP00001,103,90,60,20171
103,TER00046,56,86,45,20171
103,GLC00210,21,84,60,20172
103,TEC00208,56,96,60,20181
103,RCN00036,31,75,32,20172
103,DGP00018,103,81,60,20181
103,MAF00051,56,87,45,20181
103,GLC00205,21,75,60,20172
103,SEN00182,4,1,60,20171
103,GLC00215,21,90,60,20171
103,SEN00190,4,0,60,20181
103,GET00118,4,0,60,20181
103,MAF00051,56,76,45,20171
103,DEI00049,4,72,60,20181
103,MPS00012,56,93,30,20171
103,GLC00293,4,88,30,20181
103,TCC00314,31,62,64,20181
103,TCC00296,31,74,64,20181
103,SGE00018,4,0,240,20172
104,DGP00004,103,95,60,20171
104,GLC00292,21,80,30,20171
104,SGE00015,4,13,30,20172
104,GLC00205,21,80,60,20181
104,SSE00228,21,85,60,20181
104,GAN00145,4,0,60,20171
104,GEO00012,56,85,45,20171
104,TER00077,56,100,45,20171
104,SEN00080,4,35,60,20171
104,TDT00076,56,73,60,20181
104,SEN00072,4,64,60,20172
105,GLC00210,21,88,60,20171
105,GAN00140,31,0,60,20172
105,GMA00021,56,15,60,20181
105,TER00053,56,69,60,20172
105,SGE00015,4,35,30,20171
105,GFI00158,31,65,68,20171
105,TCC00301,31,0,32,20171
105,TER00032,56,70,30,20171
105,GMA00022,56,0,60,20171
105,GLC00223,21,84,60,20172
105,TEP00110,31,61,30,20181
105,GLC00223,21,0,60,20171
105,SEN00091,4,38,60,20181
105,GCL00090,21,81,60,20172
105,GLC00223,21,98,60,20181
106,SEN00121,4,60,60,20181
106,GCM00011,56,80,40,20172
106,GBG00050,56,90,45,20172
106,TER00061,56,88,60,20171
106,TCC00346,31,100,32,20172
106,TER00033,56,66,30,20172
106,GHT00313,4,70,60,20181
106,GLE00485,21,0,60,20171
106,TCC00295,31,34,64,20172
106,GAN00145,4,0,60,20171
106,TER00032,56,96,30,20172
106,GAG00032,56,95,72,20172
106,GLC00214,21,29,60,20172
106,SEN00072,4,35,60,20181
106,GLE00415,21,100,60,20171
106,SEN00077,4,28,60,20172
106,SEN00083,4,67,60,20181
106,SSE00326,21,100,100,20181
106,SSE00228,21,83,60,20172
106,TCC00326,56,82,60,20172
107,DGP00021,103,67,60,20172
107,GLE00398,21,87,60,20181
107,SEN00075,4,60,60,20181
107,TCC00308,31,68,64,20171
107,SEN00192,4,77,60,20172
107,TEP00108,31,0,60,20181
107,TCC00303,31,0,32,20171
107,TCC00254,31,95,68,20171
107,SEN00076,4,66,60,20172
107,SEN00111,4,14,60,20172
107,GAN00146,4,0,60,20172
107,SEN00119,4,65,60,20181
107,SEN00131,4,0,60,20181
107,GLE00483,21,95,60,20172
108,SEN00091,4,65,60,20172
108,TER00041,56,75,45,20172
108,SEN00073,4,75,60,20171
108,SEN00158,4,61,60,20181
108,TCC00280,31,66,60,20181
108,SSE00231,21,90,100,20172
108,GLC00205,21,90,60,20171
108,SEN00078,4,60,60,20172
108,GLC00212,21,73,60,20181
108,GCL00080,21,90,60,20181
108,GLC00223,21,0,60,20172
108,TCC00288,31,23,64,20181
108,SEN00210,4,68,60,20172
108,SEN00189,4,0,60,20171
108,SEN00156,4,70,60,20172
108,GAN00145,4,91,60,20171
108,SEN00081,4,64,60,20172
108,TER00040,56,72,60,20171
108,DGP00008,103,95,60,20172
108,GCL00079,21,60,60,20181
108,SSE00322,21,90,100,20171
108,SEN00182,4,63,60,20171
108,GLC00218,21,85,60,20171
108,SSE00228,21,100,60,20172
108,DGP00003,103,100,60,20172
108,TCC00346,31,0,32,20172
108,GLC00292,56,60,30,20171
108,TCC00296,31,11,64,20171
108,SEN00158,4,81,60,20172
108,GLE00538,21,80,60,20171
108,TER00039,56,68,45,20172
108,GLC00224,21,62,60,20171
108,GMA00021,56,13,60,20172
109,GAG00032,56,60,72,20172
109,DGP00108,103,68,60,20181
109,GLC00220,21,77,30,20172
109,TCC00182,31,90,68,20172
109,SSE00319,21,90,100,20181
109,GLC00212,21,70,60,20171
109,GCL00066,21,98,60,20171
109,SEN00158,4,61,60,20172
109,GCL00079,21,81,60,20181
109,GLC00219,21,100,60,20171
109,GLC00224,21,78,60,20172
110,TCC00296,31,60,64,20181
110,GMA00021,56,22,60,20171
110,GLC00212,21,79,60,20171
110,TCC00347,31,0,64,20172
110,GLC00238,21,84,60,20171
110,TCC00302,31,97,32,20171
110,SEN00084,4,87,90,20172
110,SEN00080,4,93,60,20172
110,GLC00217,21,93,60,20172
110,GMA00019,56,71,60,20181
110,GLC00293,4,100,30,20181
110,TER00124,56,64,60,20172
110,GLE00398,21,90,60,20181
110,SSE00231,21,100,100,20172
110,GLC00293,4,95,30,20172
110,TER00036,56,75,60,20172
110,GLE00488,21,62,60,20172
110,SEN00082,4,0,60,20172
110,SEN00073,4,94,60,20181
110,GLC00207,21,85,70,20172
110,GLC00293,4,71,30,20171
110,GLC00217,21,95,60,20171
111,MAF00051,56,78,45,20181
111,GEO00015,56,94,60,20172
111,GMA00023,56,90,60,20171
111,GLE00506,21,69,60,20171
111,GAN00167,31,90,60,20171
111,TCC00316,31,65,64,20181
111,TER00064,56,100,80,20181
111,TEC00207,56,63,60,20181
111,SEN00116,4,60,60,20172
111,TCC00228,31,74,68,20172
112,GCL00065,21,72,60,20181
112,GAG00046,56,85,60,20181
112,GLC00217,21,68,60,20172
112,GBG00049,56,72,60,20181
112,GCL00065,21,100,60,20171
112,GLC00238,21,71,60,20172
112,TER00036,56,65,60,20181
112,TCC00287,31,83,64,20171
112,SEN00077,4,5,60,20181
112,GLE00484,21,60,60,20171
112,GLE00387,21,65,60,20172
112,TCC00286,31,86,64,20181
112,GLC00222,21,85,30,20172
112,GLE00417,21,100,60,20171
112,SEN00084,4,97,90,20181
112,GCL00079,21,83,60,20181
112,SEN00182,4,0,60,20171
112,GLC00213,21,60,60,20181
112,TCC00313,31,60,64,20181
112,DGP00037,103,100,60,20181
112,GMA00022,56,68,60,20172
112,GEO00012,56,80,45,20181
112,GCL00079,21,100,60,20171
112,GCL00078,21,0,60,20181
112,SEN00067,4,66,60,20172
112,SEN00078,4,63,60,20181
112,GBG00049,56,84,60,20172
112,SEN00104,4,60,60,20171
112,GCL00078,21,78,60,20172
112,SFP00087,21,100,60,20181
112,GAN00146,4,0,60,20181
112,GAN00167,31,0,60,20172
112,GLC00206,21,73,60,20172
112,TCC00326,56,35,60,20171
112,TER00033,56,100,30,20181
112,SEN00076,4,92,60,20172
112,DGP00045,103,80,60,20181
113,SEN00221,4,80,60,20172
113,GAN00145,4,0,60,20171
113,TER00030,56,93,30,20181
113,GEO00014,56,77,60,20171
114,GCL00065,21,60,60,20172
114,GLE00387,21,0,60,20172
114,DGP00018,103,71,60,20171
114,SEN00064,4,65,60,20172
114,GEO00012,56,85,45,20181
114,GMA00019,56,32,60,20171
114,SEN00083,4,66,60,20171
114,GLC00223,21,78,60,20181
114,SEN00081,4,60,60,20181
114,SEN00118,4,90,60,20172
114,GMA00022,31,62,60,20172
114,GLC00215,21,86,60,20171
114,GGM00127,31,70,60,20181
114,TDT00076,56,16,60,20171
114,SGE00012,4,0,30,20172
114,GCL00079,21,92,60,20172
114,DGP00010,103,76,60,20181
114,SEN00158,4,69,60,20171
115,GET00117,4,5,60,20181
115,GLE00455,21,85,60,20171
115,STC00116,4,0,60,20172
115,SSE00230,21,100,100,20171
115,SFP00087,21,90,60,20172
115,TCC00326,56,87,60,20171
115,TCC00290,31,74,32,20181
115,SEN00158,4,78,60,20171
115,DGP00033,103,95,60,20172
115,GET00122,31,72,68,20171
115,GCL00064,21,78,60,20172
115,SFP00087,21,100,60,20181
115,SGE00018,4,0,240,20181
115,GEO00014,56,81,60,20172
115,SEN00156,4,75,60,20172
115,GGM00159,56,2,60,20171
115,TCC00305,31,65,64,20181
115,GCL00066,21,24,60,20172
115,SEN00068,4,15,60,20171
115,SGE00018,4,90,240,20172
115,GCL00090,21,0,60,20172
115,SEN00077,4,72,60,20181
115,GCL00090,21,0,60,20172
115,GHT00313,4,100,60,20172
115,DGP00046,103,80,60,20181
115,GHT00313,4,78,60,20181
116,GCL00078,21,98,60,20181
116,SEN00190,4,0,60,20171
116,TER00036,56,65,60,20171
116,GLC00203,21,85,60,20172
116,SEN00142,4,75,60,20181
116,GLC00212,21,26,60,20181
116,TER00062,56,80,60,20172
116,SGE00013,4,0,30,20181
116,TCC00296,31,76,64,20181
116,SEN00074,4,79,60,20181
116,SEN00078,4,67,60,20172
116,TER00032,56,88,30,20172
116,GLE00415,21,88,60,20181
116,SGE00012,4,0,30,20172
116,GLC00279,21,70,60,20172
116,TCC00325,56,68,60,20172
116,GMA00019,31,5,60,20171
